unixtime,equiv_cores,pkg_temp_c,max_core_temp_c,freq_p_mhz,freq_e_mhz,freq_lpe_mhz,util_cpu0
1789830834.260,9.145,90.000,95.000,3763.231,3327.293,2199.985,0.273
1789830834.364,13.465,90.000,93.000,4117.106,3076.619,2220.961,0.556
1789830834.473,14.330,90.000,93.000,4221.068,2914.743,2328.688,0.500
1789830834.576,14.079,90.000,93.000,4012.428,2575.459,2354.188,0.636
1789830834.679,5.293,90.000,93.000,4301.526,3273.589,2199.968,0.273
1789830834.783,13.423,90.000,93.000,3963.076,2696.238,2334.929,0.545
1789830834.889,13.335,90.000,93.000,4151.027,3028.726,2199.990,0.600
1789830834.993,13.379,90.000,93.000,4163.968,3060.582,2300.039,0.400
1789830835.097,11.720,90.000,93.000,4051.878,3011.871,2298.481,0.455
1789830835.200,6.792,90.000,93.000,4289.771,3266.173,2285.873,0.222
1789830835.305,14.209,100.000,100.000,4176.911,3206.191,2200.002,0.600
1789830835.410,13.612,100.000,100.000,4172.657,3145.604,2200.047,0.455
1789830835.513,14.139,100.000,100.000,4337.652,3301.387,2446.872,0.700
1789830835.617,6.623,100.000,100.000,2408.444,400.000,400.000,0.200
1789830835.721,11.810,100.000,100.000,4059.362,3373.099,2199.989,0.545
1789830835.823,13.731,100.000,100.000,4172.667,3011.838,2256.573,0.500
1789830835.931,13.604,100.000,100.000,4427.213,3238.052,2400.748,0.556
1789830836.034,13.812,100.000,100.000,4320.168,3300.564,2367.832,0.636
1789830836.139,5.177,100.000,100.000,4423.257,3301.382,2406.824,0.200
1789830836.246,14.031,100.000,100.000,4386.544,3257.804,2461.881,0.700
1789830836.352,13.142,98.000,98.000,4463.321,3301.392,2322.162,0.455
1789830836.457,15.108,98.000,98.000,3939.978,2861.733,2300.037,0.727
1789830836.562,9.408,98.000,98.000,1911.245,825.188,400.000,0.300
1789830836.670,7.451,98.000,98.000,4365.972,3301.401,2181.636,0.200
1789830836.774,14.176,98.000,98.000,4055.493,3138.158,2199.990,0.545
1789830836.878,13.497,98.000,98.000,3934.595,2725.874,2467.287,0.455
1789830836.983,13.120,98.000,98.000,4165.658,2772.215,2404.229,0.600
1789830837.086,4.927,98.000,98.000,1650.024,400.000,400.000,0.182
1789830837.191,13.467,98.000,98.000,4127.917,3219.107,2200.001,0.667
1789830837.293,12.358,98.000,98.000,4069.726,3301.450,2288.120,0.600
1789830837.397,10.236,93.000,93.000,3917.931,3368.751,1772.813,0.400
1789830837.500,5.250,93.000,97.000,2017.009,578.046,400.000,0.200
1789830837.602,8.560,93.000,97.000,4043.017,2991.368,2199.983,0.400
1789830837.706,9.506,93.000,97.000,4160.549,3249.106,2270.556,0.400
1789830837.809,8.171,93.000,97.000,4564.729,3301.423,2488.769,0.400
1789830837.912,8.132,93.000,97.000,1941.181,400.000,1335.405,0.364
1789830838.016,5.572,93.000,97.000,4390.977,3289.380,2323.182,0.300
1789830838.124,12.176,93.000,97.000,4418.121,3228.656,2349.428,0.400
1789830838.231,11.948,93.000,97.000,4204.984,3301.377,2349.995,0.545
1789830838.336,10.702,93.000,97.000,3601.543,3369.116,1995.660,0.400
1789830838.444,3.405,96.000,97.000,4273.514,3301.404,2200.006,0.100
1789830838.546,11.508,96.000,99.000,4345.698,3301.448,2403.685,0.545
1789830838.657,12.030,96.000,99.000,4311.004,3301.391,400.000,0.600
1789830838.763,10.692,96.000,99.000,4242.347,3301.366,2294.890,0.455
1789830838.866,5.305,96.000,99.000,1925.595,476.214,400.000,0.455
1789830838.969,8.089,96.000,99.000,4307.476,3020.566,2499.890,0.333
1789830839.076,12.559,96.000,99.000,4184.058,3301.383,2220.707,0.600
1789830839.179,12.085,96.000,99.000,3875.101,3199.371,2196.432,0.455
1789830839.282,12.066,96.000,99.000,4043.875,3144.166,2199.997,0.600
1789830839.387,3.247,96.000,99.000,1754.728,873.611,749.691,0.100
1789830839.490,12.012,86.000,99.000,3993.872,3197.814,2497.587,0.500
1789830839.593,12.022,86.000,93.000,4052.384,3125.060,2199.950,0.556
1789830839.704,12.405,86.000,93.000,4553.581,3301.368,2500.086,0.500
1789830839.809,11.455,86.000,93.000,3763.182,3224.428,2159.189,0.500
1789830839.914,5.038,86.000,93.000,4317.498,3281.189,1175.659,0.273
